Title,Authors (short),Authors,Publication Year,Journal,Journal Domain,Journal Impact Factor,Journal Quartile in Domain,Citations,Type of Review,Sport,Number of studies included in review
Can artificial intelligence revolutionize soccer tactical analysis?,Plakias et al. (2024),"Plakias, S., Kokkotis, C.,  Giakas, G., Tsaopoulos, D., & Moustakidis, S.",2024,TRENDS in Sport Sciences,Orthopedics and Sports Medicine,0.292,Q3,3,Narrative Review,Football,23
Orientation and Decision-Making for Soccer Based on Sports Analytics and AI: A Systematic Review,Pu et al. (2024),"Pu, Z., Pan, Y., Wang, S., Liu, B., Chen, M., Ma, H., & Cui, Y.",2024,IEEE/CAA Journal of Automatica Sinica,Artificial Intelligence,3.863,Q1,33,Systematic Review,Football,57
Artificial intelligence applications in the football codes: A systematic review.,Elstak et al. (2024,"Elstak, I., Salmon, P., & McLean, S.",2024,Journal of Sports Sciences,Sports Science,1.02,Q1,4,Systematic Review,Football codes,190
Machine learning application in soccer: a systematic review.,Rico-González et al. (2023),"Rico-González, M., Pino-Ortega, J., Méndez, A., Clemente, F.A., & Baca, A.",2023,Biology of Sport,Sports Science,1.645,Q1,77,Systematic Review,Football,32
Current Approaches to the Use of Artificial Intelligence for Injury Risk Assessment and Performance Prediction in Team Sports: a Systematic Review.,Claudino et al. (2019),"Claudino, J. G., de Oliveira Capanema, D., de Souza, T.V., Serrão, J.C., Pereira, A.C.M., Nassis, G.P.",2019,Sports Medicine - Open,Orthopedics and Sports Medicine,1.683,Q1,384,Systematic Review,Team Sports,58
The Application of Machine Learning Techniques for Predicting Match Results in Team Sport,Bunker & Susnjak (2022),"Bunker, R. & Susnjak, T.",2022,Journal of Artificial Intelligence Research,Artificial Intelligence,1.372,Q1,168,Narrative Review,Team Sports,31
The use of machine learning in sport outcome prediction,Horvat & Job (2020),"Horvat, J. & Job, J.",2020,WIREs Data Mining and Knowledge Discovery,Computer Science Applications,1.019,Q1,200,Narrative Review,Team Sports,38
Machine learning in men’s professional football Current applications and future directions for improving attacking play,Herold et al. (2019),"Herold, M., Goes, F., Nopp, S., Bauer, P.,Thompson, C., & Meyer, T.",2019,International Journal of Sports Science & Coaching,Sports Science,0.832,Q1,146,Descriptive Review,Football,31
Application of Artificial Intelligence and Machine Learning to Predict Basketball Match Outcomes,Sukumaran et al. (2022),"Sukumaran, C., Selvam, D., Sankar, M., Parthiban, V., & Sugumar, C. ",2022,Computer Integrated Manufacturing Systems,Control and Systems Engineering,0,Not listed,15,Systematic Review,Basketball,13
Computational Intelligence in Sports: A Systematic Literature Review,Bonidia et al. (2018),"Bonidia, R. P., Rodrigues, L. A. L., Avila-Santos, A. P., Sanches, D.S., & Brancher, J. D.",2018,Advances in Human-Computer Interaction,Human Computer Interaction,0.545,Q3,29,Systematic Review,All Sports,31
A review of data mining techniques for result prediction in sports,Haghighat et al. (2013),"Haghighat, M.,Rastegari, H., & Nourafza, N.",2013,ACSIJ Advances in Computer Science,Not listed,0,Not listed,159,Narrative Review,Team Sports,9
Sports result prediction based on machine learning and computational intelligence approaches: A survey,Keshtkar Langaroudi & Yamaghani (2019),"Keshtkar Langaroudi, M. & Yamaghani, M. R.",2019,Journal of Advances in Computer Engineering and Technology,Not listed,0,Not listed,41,Narrative Review,Team Sports,25
