Title,Author,Date,DOI,ML task,Sport,Gender,Competition (National vs International),Sample Country/Continent,Sample Region,Season,Sample Size,Data Modalities,Number of Features,Algorithm,Algorithm Family,Evaluation Metric,Performance
One-match-ahead forecasting in two-team sports with stacked Bayesian regressions,"Lam, M. W. Y",2018,https://doi.org/10.1515/jaiscr-2018-0011,match outcome prediction,basketball,Male,National,USA,North America,2013-2015,1230.0,Notational Data,17.0,Sparse Spectrum Gaussian Process Regression,Kernel-Based Models,Accuracy,0.8528
Predicting National Basketball Association Winners,"Lin, J., Short, L., & Sundaresan, V",2014,,match outcome prediction,basketball,Male,National,USA,North America,1991-1998,,Notational Data,14.0,Logistic Regression,Linear Models,Accuracy,0.647
Predicting National Basketball Association Winners,"Lin, J., Short, L., & Sundaresan, V",2014,,match outcome prediction,basketball,Male,National,USA,North America,1991-1998,,Notational Data,14.0,Support Vector Machine,Kernel-Based Models,Accuracy,0.651
Predicting National Basketball Association Winners,"Lin, J., Short, L., & Sundaresan, V",2014,,match outcome prediction,basketball,Male,National,USA,North America,1991-1998,,Notational Data,14.0,AdaBoost,Ensemble Methods,Accuracy,0.641
Predicting National Basketball Association Winners,"Lin, J., Short, L., & Sundaresan, V",2014,,match outcome prediction,basketball,Male,National,USA,North America,1991-1998,,Notational Data,14.0,Random Forest,Ensemble Methods,Accuracy,0.652
Predicting National Basketball Association Winners,"Lin, J., Short, L., & Sundaresan, V",2014,,match outcome prediction,basketball,Male,National,USA,North America,1991-1998,,Notational Data,14.0,Gaussian Naïve Bayes,Bayesian/Probabilistic Models,Accuracy,0.633
"Football result prediction with Bayesian network in Spanish league-Barcelona
team","Owramipur, F., Eskandarian, P., & Mozneb Sadat, F.",2013,http://dx.doi.org/10.7763/IJCTE.2013.V5.802,match outcome prediction,football,Male,National,Spain,Europe,2008-2009,38.0,Notational Data,13.0,Bayesian Network,Bayesian/Probabilistic Models,Accuracy,0.92
Machine learning in football betting: Prediction of match results based on player characteristics,"Stübinger, J., Mangold, B., & Knoll, J",2020,https://doi.org/10.3390/app10010046,match outcome prediction,football,Male,International,Europe,Europe,2006-2018,68323.0,Notational Data,41.0,Random Forest,Ensemble Methods,Accuracy,0.8126
Machine learning in football betting: Prediction of match results based on player characteristics,"Stübinger, J., Mangold, B., & Knoll, J",2020,https://doi.org/10.3390/app10010046,match outcome prediction,football,Male,International,Europe,Europe,2006-2018,68323.0,Notational Data,41.0,Random Forest,Ensemble Methods,RMSE,1.8717
Machine learning in football betting: Prediction of match results based on player characteristics,"Stübinger, J., Mangold, B., & Knoll, J",2020,https://doi.org/10.3390/app10010046,match outcome prediction,football,Male,International,Europe,Europe,2006-2018,68323.0,Notational Data,41.0,Random Forest,Ensemble Methods,MAE,1.4736
Machine learning in football betting: Prediction of match results based on player characteristics,"Stübinger, J., Mangold, B., & Knoll, J",2020,https://doi.org/10.3390/app10010046,match outcome prediction,football,Male,International,Europe,Europe,2006-2018,68323.0,Notational Data,41.0,Boosting,Ensemble Methods,Accuracy,0.7912
Machine learning in football betting: Prediction of match results based on player characteristics,"Stübinger, J., Mangold, B., & Knoll, J",2020,https://doi.org/10.3390/app10010046,match outcome prediction,football,Male,International,Europe,Europe,2006-2018,68323.0,Notational Data,41.0,Boosting,Ensemble Methods,RMSE,1.9606
Machine learning in football betting: Prediction of match results based on player characteristics,"Stübinger, J., Mangold, B., & Knoll, J",2020,https://doi.org/10.3390/app10010046,match outcome prediction,football,Male,International,Europe,Europe,2006-2018,68323.0,Notational Data,41.0,Boosting,Ensemble Methods,MAE,1.5417
Machine learning in football betting: Prediction of match results based on player characteristics,"Stübinger, J., Mangold, B., & Knoll, J",2020,https://doi.org/10.3390/app10010046,match outcome prediction,football,Male,International,Europe,Europe,2006-2018,68323.0,Notational Data,41.0,Support Vector Machine,Kernel-Based Models,Accuracy,0.6971
Machine learning in football betting: Prediction of match results based on player characteristics,"Stübinger, J., Mangold, B., & Knoll, J",2020,https://doi.org/10.3390/app10010046,match outcome prediction,football,Male,International,Europe,Europe,2006-2018,68323.0,Notational Data,41.0,Support Vector Machine,Kernel-Based Models,RMSE,2.0827
Machine learning in football betting: Prediction of match results based on player characteristics,"Stübinger, J., Mangold, B., & Knoll, J",2020,https://doi.org/10.3390/app10010046,match outcome prediction,football,Male,International,Europe,Europe,2006-2018,68323.0,Notational Data,41.0,Support Vector Machine,Kernel-Based Models,MAE,1.6939
Machine learning in football betting: Prediction of match results based on player characteristics,"Stübinger, J., Mangold, B., & Knoll, J",2020,https://doi.org/10.3390/app10010046,match outcome prediction,football,Male,International,Europe,Europe,2006-2018,68323.0,Notational Data,41.0,Linear Regression,Linear Models,Accuracy,0.7292
