inclusion,Title,Author,Date,DOI,Bunker & Susnjak (2022),Claudino et al. (2019),Herold et al. (2019),Horvat & Job (2020),Plakias et al. (2024),Pu et al. (2024),Rico-González et al. (2023),Sukumaran et al. (2022),Bonidia et al. (2018),Haghighat et al. (2013),Keshtkar Langaroudi & Yamaghani (2019),Sum of Presence
included,"An evaluation of human and
computer-based predictions of the 2003 rugby union world cup,","O’Donoghue, P., & Williams, J",2004,https://doi.org/10.1515/ijcss-2016-0003,1,0,0,0,0,0,0,0,0,0,0,1
included,"Development and application of
computer-based prediction methods","Reed, D., & O’Donoghue, P",2005,https://doi.org/10.1080/24748668.2005.11868334,1,0,0,0,0,0,0,0,0,0,0,1
included,Artificial intelligence in sports prediction,"McCabe, A., & Trevathan, J.",2008,10.1109/ITNG.2008.203,1,0,0,1,0,0,0,0,0,1,0,3
included,Predictive models of the 2015 rugby world cup: Accuracy and application,"O’Donoghue, P., Ball, D., Eustace, J., McFarlan, B., & Nisotaki, M.",2016,10.1515/ijcss-2016-0003,1,0,0,0,0,0,0,0,0,0,0,1
included,"Use of performance metrics to
forecast success in the national hockey league","Weissbock, J., Viktor, H., & Inkpen, D.",2013,https://ceur-ws.org/Vol-1969/paper-06.pdf,1,0,0,0,0,0,0,0,0,0,0,1
included,"Combining textual pre-game reports
and statistical data for predicting success in the national hockey league","Weissbock, J., & Inkpen, D.",2014,https://link.springer.com/chapter/10.1007/978-3-319-06483-3_22,1,0,0,0,0,0,0,0,0,0,0,1
included,"A game-predicting expert
system using big data and machine learning","Gu, W., Foster, K., Shang, J., & Wei, L.)",2019,https://doi.org/10.1016/j.eswa.2019.04.025,1,0,0,0,0,0,0,0,0,0,0,1
included,"Predicting football results
using bayesian nets and other machine learning techniques","Joseph, A., Fenton, N. E., & Neil, M",2006,https://doi.org/10.1016/j.knosys.2006.04.011,1,0,1,0,0,0,1,0,0,0,0,3
included,Predicting sports events from past results.,Buursma,2010,https://silo.tips/download/predicting-sports-events-from-past-results,1,0,0,1,0,0,0,0,0,1,0,3
included,"A neural network method for prediction
of 2006 world cup football game","Huang, K.-Y., & Chang",2010,10.1109/IJCNN.2010.5596458,1,0,0,0,0,0,0,0,0,0,0,1
included,"Using bookmaker odds to predict the
final result of football matches","Odachowski, K., & Grekow, J.",2012,10.1007/978-3-642-37343-5_20,1,0,0,0,0,0,0,0,0,0,0,1
included,"Predicting the dutch football competition us-
ing public data: A machine learning approach","Tax, N., & Joustra, Y.",2015,10.13140/RG.2.1.1383.4729,1,0,1,1,0,0,0,0,0,0,0,3
included,Predicting football match results with logistic regression,"Prasetio, D.",2016,10.1109/ICAICTA.2016.7803111,1,0,0,1,0,0,0,0,0,0,0,2
included,"Football match prediction using
players attributes","Danisik, N., Lacko, P., & Farkas, M.",2018,https://doi.org/10.1109/DISA.2018.8490613,1,0,0,0,0,0,0,0,0,0,0,1
included,"Learning to predict soccer
results from relational data with gradient boosted trees","Hubácek, O., Šourek, G., & Železn`y, F.",2019,10.1007/s10994-018-5704-6,1,0,0,0,0,0,0,0,0,0,0,1
included,"Dolores: a model that predicts football match
outcomes from all over the world","Constantinou, A. C.",2019,10.1007/s10994-018-5703-7,1,0,0,0,0,0,0,0,0,0,0,1
included,"Incorporating domain knowledge
in machine learning for soccer outcome prediction","Berrar, D., Lopes, P., & Dubitzky, W",2019,10.1007/s10994-018-5747-8,1,0,0,0,0,0,0,0,0,0,0,1
included,Neural network quarterbacking,"Purucker, M. C.",1996,https://doi.org/10.1109/45.535226,1,0,0,1,0,0,0,0,0,0,0,2
included,Nfl prediction using committees of artificial neural networks.,"David, J. A., Pasteur, R. D., Ahmad, M. S., & Janning, M. C.",2011,http://dx.doi.org/10.2202/1559-0410.1327,1,0,0,0,0,0,0,0,0,0,0,1
included,"A comparative analysis of data
mining methods in predicting ncaa bowl outcome","Delen, D., Cogdell, D., & Kasap, N.",2012,https://doi.org/10.1016/j.ijforecast.2011.05.002,1,0,0,1,0,0,0,0,0,0,0,2
excluded,"Applications of modern classification
techniques to predict the outcome of odi cricket","Pathak, N., & Wadhwa, H.",2016,https://doi.org/10.1016/j.procs.2016.05.126,1,0,0,0,0,0,0,0,1,0,0,2
excluded,"Predicting win-loss outcomes in mlb regular season
games–a comparative study using data mining methods.","Valero, C. S.",2016,https://doi.org/10.1515/ijcss-2016-0007,1,1,0,1,0,0,0,0,0,0,0,3
included,"Predict the neural network mathematical model of basketball team scores
based on improved BP algorithm.",Li C.,2013,https://www.tsijournals.com/articles/predict-the-neural-network-mathematical-model-of-basketball-team-scores-based-on-improved-bp-algorithm.pdf,0,1,0,0,0,0,0,0,0,0,0,1
included,"Evaluation model of young basketball players’ physical quality
and basic technique based on RBF neural network",Lu G,2013,https://www.tsijournals.com/articles/evaluation-model-of-young-basketball-players-physical-quality-and-basic-technique-based-on-rbf-neural-network.pdf,0,1,0,0,0,0,0,0,0,0,0,1
included,"The participating team’s technical analysis of women’s basketball in
the 30th Olympic Games based on neural network",Wu L.,2013,https://doi.org/10.12775/JEHS.2021.11.07.005,0,1,0,0,0,0,0,0,0,0,0,1
included,"Prediction based on basketball competition video athlete
behaviors and on-line RBF neural network application",Zhang Q.,2014,https://www.scholarscentral.com/pdfs/76984/prediction-based-on-basketball-competition-video-athlete-behaviors-and-online-rbf-neural-network-application.pdf,0,1,0,0,0,0,0,0,0,0,0,1
included,"Detecting tactical patterns in basketball:
comparison of merge self-organising maps and dynamic controlled neural
networks","Kempe M, Grunz A, Memmert D",2015,https://doi.org/10.1080/17461391.2014.933882,0,1,0,0,0,0,0,0,0,0,0,1
included,"Role revolution: towards a new meaning
of positions in basketball.","Bianchi F, Facchinetti T, Zuccolotto P.",2017,https://www.researchgate.net/publication/321667468_Role_revolution_Towards_a_new_meaning_of_positions_in_basketball,0,1,0,0,0,0,0,0,0,0,0,1
included,"Analysis of tactical defensive behavior in team handball
by means of artificial neural networks","Tilp M, Schrapf N",2015,http://dx.doi.org/10.1016/j.ifacol.2015.05.169,0,1,0,0,0,0,0,0,0,0,1,2
included,"Evaluation of tactical training
in team handball by means of artificial neural networks","Hassan A, Schrapf N, Ramadan W",2017,https://doi.org/10.1080/02640414.2016.1183804,0,1,0,0,0,0,0,0,0,0,0,1
included,"The prediction of action positions in team
handball by non-linear hybrid neural network","Hassan A, Schrapf N, Tilp M",2017,https://doi.org/10.1080/24748668.2017.1336688,0,1,0,0,0,0,0,0,0,0,0,1
included,"Tactical interaction of offensive and defensive
teams in team handball analysed by artificial neural network","Schrapf N, Alsaied S, Tilp M",2017,http://dx.doi.org/10.1080/13873954.2017.1336733,0,1,0,0,0,0,0,0,0,0,0,1
included,"Intelligent prediction of soccer
technical skill on youth soccer player’s relative performance using
multivariate analysis and artificial neural network techniques","Abdullah MR, Maliki ABHM, Musa RM",2016,http://dx.doi.org/10.18517/ijaseit.6.5.975,0,1,0,0,0,0,0,0,0,0,0,1
excluded,"Neural network models for group behavior prediction:
a case of soccer match attendance.","Strnad D, Nerat A, Kohek Š.",2017,https://doi.org/10.1007/s00521-015-2056-z,0,1,0,0,0,0,0,0,0,0,0,1
excluded,"A deep learning-based sports player
evaluation model based on game statistics and news articles","Park YJ, Kim HS, Kim D,",2017,https://doi.org/10.1016/j.knosys.2017.09.028,0,1,0,0,0,0,0,0,0,0,0,1
excluded,"Prediction of team league’s rankings in volleyball by
artificial neural network method","Tümer AE, Koçer S.",2017,https://doi.org/10.1080/24748668.2017.1331570,0,1,0,0,0,0,0,0,0,0,0,1
included,"The application of self-organising
maps to performance analysis data in rugby union","Croft H, Lamb P, Middlemas S",2015,https://doi.org/10.1080/24748668.2015.11868849,0,1,0,0,0,0,0,0,0,0,0,1
included,"Ranking features on
psychological dynamics of cooperative team work through Bayesian
networks","Fuster-Parra P, Garcia-Mas A, Cantallops J",2016,https://doi.org/10.3390/sym8050034,0,1,0,0,0,0,0,0,0,0,0,1
